Stock,Decoders,MSE,Epochs,Runtime
amzn,1,0.09931565821170807,50,145.0922466
ibm,1,0.0022491125855594873,50,272.54418280000004
aapl,1,0.03162039816379547,50,374.9533049
googl,1,0.02515958808362484,50,264.9488189
amzn,2,0.12047117948532104,50,203.04106660000002
ibm,2,0.00207348121330142,50,225.03310839999995
aapl,2,0.0019413328263908625,50,663.0072487
googl,2,0.03567075729370117,50,276.60522059999994
amzn,3,0.08205939829349518,50,309.16979279999987
ibm,3,0.00218229740858078,50,314.94898509999985
aapl,3,0.0078015378676354885,50,325.1179600999999
googl,3,0.0208144411444664,50,345.5682029999998
amzn,4,0.06463666260242462,50,408.81723850000026
ibm,4,0.002206833101809025,50,414.2267099999999
aapl,4,0.00548400916159153,50,400.27252150000004
googl,4,0.08744071424007416,50,408.6214385000003
amzn,5,0.15126965939998627,50,480.72234430000026
ibm,5,0.00215770467184484,50,484.64351439999973
aapl,5,0.003556519979611039,50,479.4705076
googl,5,0.00881004985421896,50,452.68113640000047
